Code,Variable_Description,Data_File
DS1TSODI,Sodium (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TPOTA,Potassium (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TSELE,Selenium (mcg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TCAFF,Caffeine (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
DS1TIODI,Iodine (mcg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
SEQN,Respondent sequence number,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
WTDRD1PP,Dietary day one sample weight,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
WTDR2DPP,Dietary two-day sample weight,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DR2DRSTZ,Dietary recall status,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DR2EXMER,Interviewer ID code,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DRDINT,Number of days of intake,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DR2DBIH,# of days b/w intake and HH interview,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DR2DAY,Intake day of the week,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DR2LANG,Language respondent used mostly,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DR2MRESP,Main respondent for this interview,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DR2HELP,Helped in responding for this interview,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2DSCNT,Total # of Dietary Supplements Taken,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2DS,Any Dietary Supplements Taken?,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2ANCNT,Total # of Antacids Taken,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2AN,Any Antacids Taken?,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TKCAL,Energy (kcal),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TPROT,Protein (gm),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TCARB,Carbohydrate (gm),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TSUGR,Total sugars (gm),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TFIBE,Dietary fiber (gm),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TTFAT,Total fat (gm),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TSFAT,Total saturated fatty acids (gm),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TMFAT,Total monounsaturated fatty acids (gm),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TPFAT,Total polyunsaturated fatty acids (gm),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TCHOL,Cholesterol (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TLYCO,Lycopene (mcg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TLZ,Lutein + zeaxanthin (mcg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TVB1,Thiamin (Vitamin B1) (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TVB2,Riboflavin (Vitamin B2) (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TNIAC,Niacin (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TVB6,Vitamin B6 (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TVB12,Vitamin B12 (mcg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TFA,Folic acid (mcg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TFDFE,"Folate, DFE (mcg)","Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TCHL,Total choline (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TVC,Vitamin C (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TVK,Vitamin K (mcg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TVD,Vitamin D (D2 + D3) (mcg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TCALC,Calcium (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TPHOS,Phosphorus (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TMAGN,Magnesium (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TIRON,Iron (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TZINC,Zinc (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TCOPP,Copper (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TSODI,Sodium (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TPOTA,Potassium (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TSELE,Selenium (mcg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TCAFF,Caffeine (mg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
DS2TIODI,Iodine (mcg),"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
SEQN,Respondent sequence number,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSDPID,Supplement ID Number,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSDSUPP,Supplement Name,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSDANTA,Antacid reported as a dietary supplement,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSD070,Was container seen?,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSDMTCH,Matching code,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSD090,How long supplement taken (days)?,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSD103,"Days supplement taken, past 30 days",Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSD122Q,Quantity of supplement taken daily,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSD122U,Dosage form,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSDACTSS,Reported serving size/label serving size,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSDDAY1,Reported Product during Day 1,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSDDAY2,Reported Product during Day 2,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQ124,Took product on own or doctor advised,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQ128A,For good bowel/colon health,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQ128B,For prostate health,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQ128C,For mental health,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQ128D,To prevent health problems,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQ128E,To improve my overall health,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQ128F,"For teeth, prevent cavities",Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQ128G,"To supplement my diet, food not enough",Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQ128H,To maintain health (to stay healthy),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQ128I,"To prevent colds, boost immune system",Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQ128J,"For heart health, cholesterol",Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQ128K,For eye health,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQ128L,"For healthy joints, arthritis",Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQ128M,"For healthy skin, hair and nails",Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQ128N,For weight loss,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQ128O,For bone health,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQ128P,To get more energy,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQ128Q,For pregnancy/breastfeeding,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQ128R,"For anemia, such as low iron",Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSD128T,"To maintain blood sugar, diabetes",Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSD128V,For kidney and bladder health,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSD128W,"For respiratory health, asthma",Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSD128X,For allergies,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSD128Z,To improve digestion,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSD128AA,"For menopause, hot flashes",Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSD128BB,"For muscle related issues, muscle cramps",Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSD128DD,"For relaxation, stress, sleep",Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSD128EE,For nervous system health,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSD128FF,"For liver health, detoxification",Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSD128GG,For antioxidants,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSD128HH,"Word of mouth, advertisement",Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSD128II,"For thyroid health, gout",Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSD128JJ,For weight gain,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSD128KK,Low levels in blood,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSD128LL,For support after surgery,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSD128MM,Headaches and dizziness,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQ128NN,To build muscle,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSD128OO,For inflammation,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSD128PP,For fluid/water balance,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQ128S,Other,Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQIKCAL,Energy (kcal),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQIPROT,Protein (gm),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQICARB,Carbohydrate (gm),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQISUGR,Total sugars (gm),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQIFIBE,Dietary fiber (gm),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQITFAT,Total fat (gm),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQISFAT,Total saturated fatty acids (gm),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQIMFAT,Total monounsaturated fatty acids (gm),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQIPFAT,Total polyunsaturated fatty acids (gm),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQICHOL,Cholesterol (mg),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQILYCO,Lycopene (mcg),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQILZ,Lutein + zeaxanthin (mcg),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQIVB1,Thiamin (Vitamin B1) (mg),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQIVB2,Riboflavin (Vitamin B2) (mg),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQINIAC,Niacin (mg),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQIVB6,Vitamin B6 (mg),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQIFA,Folic acid (mcg),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQIFDFE,"Folate, DFE (mcg)",Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQICHL,Total choline (mg),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQIVB12,Vitamin B12 (mcg),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQIVC,Vitamin C (mg),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQIVK,Vitamin K (mcg),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQIVD,Vitamin D (D2 + D3) (mcg),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQICALC,Calcium (mg),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQIPHOS,Phosphorus (mg),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQIMAGN,Magnesium (mg),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQIIRON,Iron (mg),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQIZINC,Zinc (mg),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQICOPP,Copper (mg),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQISODI,Sodium (mg),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQIPOTA,Potassium (mg),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQISELE,Selenium (mcg),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQICAFF,Caffeine (mg),Dietary Supplement Use 30-Day - Individual Dietary Supplements
DSQIIODI,Iodine (mcg),Dietary Supplement Use 30-Day - Individual Dietary Supplements
SEQN,Respondent sequence number,Dietary Supplement Use 30-Day - Total Dietary Supplements
DSDCOUNT,Total # of Dietary Supplements Taken,Dietary Supplement Use 30-Day - Total Dietary Supplements
DSDANCNT,Total # of Antacids Taken,Dietary Supplement Use 30-Day - Total Dietary Supplements
DSD010,Any Dietary Supplements Taken?,Dietary Supplement Use 30-Day - Total Dietary Supplements
DSD010AN,Any Antacids Taken?,Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTKCAL,Energy (kcal),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTPROT,Protein (gm),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTCARB,Carbohydrate (gm),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTSUGR,Total sugars (gm),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTFIBE,Dietary fiber (gm),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTTFAT,Total fat (gm),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTSFAT,Total saturated fatty acids (gm),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTMFAT,Total monounsaturated fatty acids (gm),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTPFAT,Total polyunsaturated fatty acids (gm),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTCHOL,Cholesterol (mg),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTLYCO,Lycopene (mcg),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTLZ,Lutein + zeaxanthin (mcg),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTVB1,Thiamin (Vitamin B1) (mg),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTVB2,Riboflavin (Vitamin B2) (mg),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTNIAC,Niacin (mg),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTVB6,Vitamin B6 (mg),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTFA,Folic acid (mcg),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTFDFE,"Folate, DFE (mcg)",Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTCHL,Total choline (mg),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTVB12,Vitamin B12 (mcg),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTVC,Vitamin C (mg),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTVK,Vitamin K (mcg),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTVD,Vitamin D (D2 + D3) (mcg),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTCALC,Calcium (mg),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTPHOS,Phosphorus (mg),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTMAGN,Magnesium (mg),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTIRON,Iron (mg),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTZINC,Zinc (mg),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTCOPP,Copper (mg),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTSODI,Sodium (mg),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTPOTA,Potassium (mg),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTSELE,Selenium (mcg),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTCAFF,Caffeine (mg),Dietary Supplement Use 30-Day - Total Dietary Supplements
DSQTIODI,Iodine (mcg),Dietary Supplement Use 30-Day - Total Dietary Supplements
